Abies,4-1KaBP,-0.01,-0.11,0.08,N.S.,0.09,0.05,0.14,N.S.,No Movement,-0.01,-0.11,0.08,N.S.,0.09,0.05,0.14,N.S.,No Movement,0.01,0,0.02,0.07,0.05,0.09,0.01,0,0.02,0.07,0.05,0.09,
Abies,7-4KaBP,0.12,0.04,0.2,N.S.,0.13,0.08,0.19,N.S.,No Movement,0.12,0.04,0.2,N.S.,0.13,0.08,0.19,N.S.,No Movement,0,-0.06,0.06,0.19,0.1,0.28,0,-0.06,0.06,0.19,0.1,0.28,
Abies,10-7KaBP,0.62,0.48,0.77,**,0.9,0.7,1.1,***,North-Expansion,0.62,0.48,0.77,**,0.9,0.7,1.1,***,North-Expansion,0.33,0.21,0.45,0.26,0.18,0.34,0.33,0.21,0.45,0.26,0.18,0.34,
Abies,12-10KaBP,1.69,1.34,2.04,***,1.88,1.64,2.12,*,North-Expansion,1.69,1.34,2.04,***,1.88,1.64,2.12,*,North-Expansion,0.87,0.71,1.04,1.14,0.9,1.37,0.87,0.71,1.04,1.14,0.9,1.37,
Abies,14-12KaBP,0.71,0.41,1,N.S.,0.83,0.66,1,**,North-Expansion,0.71,0.41,1,N.S.,0.83,0.66,1,**,North-Expansion,-0.25,-0.47,-0.03,0.32,0.13,0.52,-0.25,-0.47,-0.03,0.32,0.13,0.52,
Abies,16-14KaBP,1.05,0.68,1.43,**,0.72,0.57,0.87,*,North-Contraction,1.05,0.68,1.43,**,0.72,0.57,0.87,*,North-Contraction,-0.06,-0.22,0.1,0.24,0.16,0.31,-0.06,-0.22,0.1,0.24,0.16,0.31,
Acer,4-1KaBP,0.01,-0.07,0.09,N.S.,-0.08,-0.18,0.02,N.S.,No Movement,0.01,-0.07,0.09,N.S.,-0.08,-0.18,0.02,N.S.,No Movement,0.02,-0.01,0.06,0.05,0.01,0.08,0.02,-0.01,0.06,0.05,0.01,0.08,
Acer,7-4KaBP,0.09,0,0.17,N.S.,0.05,-0.04,0.14,N.S.,No Movement,0.09,0,0.17,N.S.,0.05,-0.04,0.14,N.S.,No Movement,-0.01,-0.05,0.03,0.14,0.09,0.2,-0.01,-0.05,0.03,0.14,0.09,0.2,
Acer,10-7KaBP,0.62,0.45,0.78,***,0.71,0.58,0.84,***,North-Expansion,0.62,0.45,0.78,***,0.71,0.58,0.84,***,North-Expansion,0.08,-0.01,0.16,0.38,0.26,0.49,0.08,-0.01,0.16,0.38,0.26,0.49,
Acer,12-10KaBP,0.74,0.53,0.95,*,1.68,1.51,1.84,N.S.,North-Contraction,0.74,0.53,0.95,*,1.68,1.51,1.84,N.S.,North-Contraction,0.32,0.17,0.48,1.01,0.83,1.2,0.32,0.17,0.48,1.01,0.83,1.2,
Acer,14-12KaBP,1.59,1.34,1.84,***,1.55,1.09,2.01,***,North-Contraction,1.59,1.34,1.84,***,1.55,1.09,2.01,***,North-Contraction,0.5,0.16,0.83,0.59,0.45,0.72,0.5,0.16,0.83,0.59,0.45,0.72,
Acer,16-14KaBP,0.53,0.37,0.69,N.S.,0.78,0.54,1.03,*,North-Expansion,0.53,0.37,0.69,N.S.,0.78,0.54,1.03,*,North-Expansion,0.16,0.03,0.29,0.17,0.1,0.23,0.16,0.03,0.29,0.17,0.1,0.23,
Alnus,4-1KaBP,0.11,-0.01,0.23,N.S.,0.15,0,0.3,N.S.,No Movement,0.11,-0.01,0.23,N.S.,0.15,0,0.3,N.S.,No Movement,0.04,0.02,0.06,0.13,0.1,0.16,0.04,0.02,0.06,0.13,0.1,0.16,
Alnus,7-4KaBP,0.37,0.25,0.49,*,0.75,0.54,0.96,N.S.,North-Contraction,0.37,0.25,0.49,*,0.75,0.54,0.96,N.S.,North-Contraction,0.05,0.01,0.09,0.13,0.1,0.16,0.05,0.01,0.09,0.13,0.1,0.16,
Alnus,10-7KaBP,0.57,0.4,0.73,*,1.6,1.31,1.88,***,North-Expansion,0.57,0.4,0.73,*,1.6,1.31,1.88,***,North-Expansion,0.21,0.16,0.26,0.31,0.24,0.38,0.21,0.16,0.26,0.31,0.24,0.38,
